Date,target,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19,model_20,model_21,model_22,model_23,model_24,model_25,model_26,model_27,model_28,model_29,model_30,model_31,model_32,model_33,model_34,model_35,model_36,model_37,model_38,model_39,model_40,model_41,model_42,model_43,model_44,model_45,model_46,model_47,model_48,model_49,model_50,model_51,model_52,model_53,model_54,model_55,model_56,model_57,model_58,model_59,mean
2024-12-02 00:00:00+00:00,-0.0299068707008841,-0.0344514928371474,-0.0277307847612647,-0.0201553859496702,-0.0259821701386221,-0.017675321806301797,-0.0333423219022749,-0.0274088588077605,-0.0167600495433462,-0.0295288973884953,-0.010331606402950999,-0.0471593183331287,-0.0234993351145897,-0.0344052065351471,-0.0353495730450743,-0.027692307304771898,-0.0371168911121986,-0.018602559235760797,-0.007704874508074198,-0.0140305431656606,-0.0288932321743579,-0.0369840147894495,-0.0430082242257087,-0.0449577276964887,-0.024296278178281998,-0.0403629778100318,-0.0186863154012852,-0.0368966060994135,-0.047924333294624796,-0.0458769673567586,-0.0452032655080522,-0.0514862374135893,-0.0363620150549502,-0.0600065065315953,-0.058031750262036996,-0.035868483423962,-0.053779393061261296,-0.037390578552325596,-0.0344555861835828,-0.0209274540619473,-0.0484972128718993,-0.0297498121468859,-0.0358851716825063,-0.038985031450754895,-0.02983224584663872,-0.0325131988381444,-0.0680113918461041,-0.0247503877343692,-0.0279590045686784,-0.0473941504693996,-0.047027134730545594,-0.007498758771411599,-0.0331700864791854,-0.005920301411360598,-0.004784366288256698,-0.0479838442543395,-0.044760050550939096,-0.008160936275538398,-0.0271164679231519,-0.0604033722121476,-0.044996897873147396,-0.0334287544866224
2024-12-03 00:00:00+00:00,-0.0531163442635422,-0.0820213594396034,-0.0755288511349002,-0.0675889758099632,-0.0731566908526351,-0.0650484234371667,-0.080786592302365,-0.0742124845921885,-0.06376737119563039,-0.0778186979357491,-0.057276940202761,-0.0946109727246358,-0.0708835274624518,-0.0812528838930692,-0.0824355884024717,-0.0757469688774543,-0.0841948767777568,-0.0657847655662711,-0.054964437719724195,-0.0606719168992172,-0.0762565594366952,-0.09284071354622819,-0.0986575761769723,-0.0998875395305949,-0.0827114813804047,-0.0948477862736945,-0.07484846659332009,-0.0907904067662199,-0.1015186188161346,-0.10026768759618909,-0.1013920975422543,-0.1070606271248626,-0.0904621265804771,-0.11331119351691729,-0.11309729531402579,-0.0901202140358246,-0.108655028873336,-0.0905784560431726,-0.0891665980720987,-0.0749546042448308,-0.1040461230739747,-0.0799935785097934,-0.0862357707385179,-0.0894509950453514,-0.0800601174044714,-0.0828330690386796,-0.119151166241813,-0.0748774840429991,-0.0781572348486716,-0.0980386021664803,-0.09767013897995139,-0.0572118943759637,-0.0834647016681591,-0.055618985695370896,-0.054482631206261095,-0.0986559532771021,-0.0953469902737662,-0.0579277879667036,-0.0773157937239734,-0.11134209664641359,-0.0955882830264666,-0.0842774466773525
2024-12-04 00:00:00+00:00,-0.005534237213954,-0.0715612987865593,-0.0639340690560698,-0.0570325206707777,-0.0634603365954829,-0.054978605940426695,-0.0703262350705717,-0.0634319537823594,-0.053588945017691896,-0.0671762912740262,-0.0469382485966961,-0.0850655533291119,-0.0614433743682081,-0.0713306712905514,-0.07284791775730251,-0.0661750086999492,-0.07452654862524341,-0.0561260531463376,-0.0452668162683154,-0.0492334172385963,-0.0663509272952988,-0.0966864642501329,-0.1034925120105918,-0.1042149711523668,-0.0901122094635154,-0.0997403589616881,-0.0799127701543339,-0.0939794020303446,-0.103782373203553,-0.1027878778239184,-0.1092342728364412,-0.1126932053739222,-0.09117567370788951,-0.1171763186970341,-0.12142064617930311,-0.0938263816465486,-0.1137236934513582,-0.0922881565787932,-0.09222042174940681,-0.0751820956278675,-0.1090070732164143,-0.0847753493485527,-0.0911596998058176,-0.0946219916617602,-0.08472907302280791,-0.08771989481631101,-0.1258631734507988,-0.0794509667021611,-0.0828202260039768,-0.10376077758487211,-0.1032561256829357,-0.0607815886312984,-0.0882989316270371,-0.059266056102537795,-0.058048063208936095,-0.10434810985547241,-0.1007740006850267,-0.0617849279309641,-0.08198869184848341,-0.1175653826208881,-0.1010872399921789,-0.0839258656917969
2024-12-05 00:00:00+00:00,0.0289639123404199,-0.025536263040509603,-0.0184704935373782,-0.011567764874839698,-0.0177251245866414,-0.009723162857186902,-0.024614685891652003,-0.0168796561430755,-0.0080167146850092,-0.0212552862459436,-0.0012547595516425002,-0.038994267580559405,-0.015621863273468501,-0.0245289257201096,-0.0279193479359098,-0.0203889292718492,-0.0278434460477521,-0.0109886768997946,-0.00023191094619660207,-0.002840564395685804,-0.020608569068098503,-0.052873627561499104,-0.06195062475319821,-0.06231710471454821,-0.0498911176728825,-0.059966421170132705,-0.03915282738325031,-0.0525332065590261,-0.0609970598876238,-0.0601763405610866,-0.072094384721784,-0.0721906925671576,-0.045479363510618806,-0.07681057370521441,-0.0860193823502809,-0.05292843410199441,-0.07294350693471631,-0.049480447783913,-0.0495666215897233,-0.029672881475582304,-0.0669724894605988,-0.04984844440424531,-0.0560626098888371,-0.0595736064937271,-0.049722354891583706,-0.05275394937998981,-0.09072123201242441,-0.0445778476237538,-0.0478632067355101,-0.0687862757252939,-0.0681871264882561,-0.025904397538931204,-0.053277955058361,-0.0244986614795091,-0.023238800438562603,-0.0693197949918265,-0.0656694725777025,-0.027088218813630698,-0.04707936979785961,-0.08240594232504371,-0.0660753856725913,-0.0431947028892629
2024-12-06 00:00:00+00:00,-0.0420974391429121,-0.0597112793190484,-0.0534802842826997,-0.047848255888197,-0.0536242640716625,-0.0454686699577224,-0.059686154879373704,-0.0524902473625031,-0.043604168539832996,-0.0560728584631104,-0.0375948045606686,-0.0727656701800235,-0.050651339373829096,-0.0594905862409455,-0.0634208525881454,-0.0557984325833563,-0.0626624965010029,-0.0464252076250194,-0.035592822208879,-0.0378004229749667,-0.0551837212926475,-0.0759236447508746,-0.0870675732189819,-0.08775263294078,-0.0746185808564096,-0.0878767141735203,-0.0651124978610725,-0.0801474985504871,-0.088759888476967,-0.0874431668424929,-0.10089854376067689,-0.0989259737529332,-0.070220128950684,-0.1059821223867064,-0.1176608999266097,-0.0804575006368206,-0.0994768354676152,-0.0768919741551922,-0.0749569903092019,-0.0545239870060416,-0.091374036176245,-0.0839166334912397,-0.089833606530907,-0.09323699662850099,-0.08378250248262939,-0.0867259478379111,-0.1231274420117881,-0.0788518814453398,-0.08201427791757371,-0.1020597618631907,-0.1014953664503372,-0.0609661613326698,-0.08719252543229761,-0.059624650251049904,-0.058421357086894096,-0.1025771913234789,-0.0990554148661375,-0.0621228905352951,-0.0812670435823938,-0.1151179046404905,-0.09949311610452449,-0.0751054400151433
2024-12-07 00:00:00+00:00,0.0153268027159116,-0.0308842072515145,-0.024438127510426497,-0.0189197707103096,-0.024921782828340795,-0.0160695266234942,-0.0312704320766083,-0.0236323150855976,-0.015530336624101299,-0.0277506243804806,-0.0092453354364705,-0.043977452639548095,-0.0224061456888721,-0.030062447840064697,-0.0343621890792239,-0.026900608027825,-0.0337673245125049,-0.017858107070306398,-0.007163903967806201,-0.0087740600160646,-0.026231743847750497,-0.0443131786736752,-0.056366162956381104,-0.059422458896642,-0.0394126976621998,-0.0611835517744101,-0.0322815969256449,-0.0525512660648405,-0.06287686995903871,-0.0598840821935668,-0.0736664052666463,-0.0716169377141478,-0.0403984032869818,-0.08219930208152951,-0.0969950981201301,-0.053679235596583795,-0.07279974249813191,-0.0502424501509789,-0.044987568344728,-0.0238427034003173,-0.060454676565735395,-0.065598209237334,-0.0716695347928277,-0.0752213064051212,-0.06546993391512801,-0.0685285379718735,-0.1059959830380017,-0.0603696259704232,-0.0636334425655289,-0.0842458320312293,-0.0837172034133266,-0.0419790434214065,-0.06896680033225691,-0.0405935440443181,-0.0393908055270578,-0.08482251143776641,-0.08120156627385791,-0.0431688424977682,-0.0628887602560807,-0.0977256519589755,-0.08165843345196591,-0.050003106631531104
2024-12-08 00:00:00+00:00,0.0229984421181268,-9.389312372360195e-05,-0.006958768656780599,-0.012691691285195601,-0.0063613796847105004,-0.014806180964357402,-0.0004707055865031985,-0.007606582989500501,-0.015535764290371502,-0.0039144408382044,-0.022273129792605,-0.011826331475792602,-0.0091216170834508,-0.0011160399834532,-0.0026873548419540996,-0.004178209562150002,-0.002456169718537699,-0.0137863073790833,-0.024531249085093,-0.022828842066323702,-0.0043624136801523015,-0.0048635673669386,-0.015484167848941702,-0.0213488026215677,-0.0070909630107246005,-0.0238923211888813,-0.0104157991196916,-0.014312398197775598,-0.0271916001819998,-0.0220688106400267,-0.0328455093013092,-0.0324629792088386,-0.0033760192277687007,-0.046679279895539695,-0.0623372499096719,-0.0176078195130302,-0.0349188044918526,-0.014603583989396998,-0.0061867508742635,-0.0139888354669391,-0.018263073653059098,-0.0349222488470883,-0.0407556777612794,-0.0442727088923953,-0.0347751748785263,-0.037785541354479,-0.07422771527995209,-0.029842100422932498,-0.0329900344469968,-0.0530350797247685,-0.0525330305056211,-0.011946195037992997,-0.0381580828167662,-0.010632586838223199,-0.009479898915062603,-0.053616486888545194,-0.050067836576366105,-0.013165565678515699,-0.0323070188037686,-0.0661266606528225,-0.050538611049973904,-0.016423324117386902
2024-12-09 00:00:00+00:00,-0.004598069730556,-0.0038653603191626,-0.0033857760504423995,-0.009258225489722102,-0.0028826906711095996,-0.010882630335880002,-0.003772500629951,-0.0046094499245204,-0.011630154200954798,-0.0009158025912095998,-0.0177014540116935,-0.0148347898859299,-0.0049665455966663,-0.0028383146484914,-0.0061774925082633,-0.0007382985007368999,-0.0062278616507798,-0.009645017407656501,-0.0208309400134488,-0.0187872187896834,-0.0013944441219682002,-0.0017792832255536998,-0.0095848841933953,-0.0179557912460315,-0.014356350370448898,-0.0187524048235321,-0.016269098355986198,-0.0095359964962469,-0.0246453924826882,-0.0189035795895075,-0.0244047249487924,-0.0272447903963552,-0.0011944489972701999,-0.042576133834313204,-0.0582039683611752,-0.013799057558327402,-0.0295253408637445,-0.012447103983054299,-0.0005359465311351001,-0.0166438366956981,-0.0121290645978865,-0.0324684341028184,-0.038057388769378,-0.0414811436919853,-0.0323311310525628,-0.0352507905194499,-0.0704343772899272,-0.0275713817616027,-0.0305884125922316,-0.0499131266968441,-0.0494612185211376,-0.0103260109080168,-0.0355871459564419,-0.0090521699066998,-0.007937180251902199,-0.0505079270121495,-0.0470548125358829,-0.0115046353752184,-0.029948630208475602,-0.0625596870971898,-0.0475572245309575,-0.0152604854570772
2024-12-10 00:00:00+00:00,-0.0068854320153477,-0.010440209391385201,-0.0028489226718379,-0.003557280406903501,-0.0027676756429187,-0.0048233404786972,-0.0093624178304011,-0.0015762329507236,-0.0062421530827971,-0.0051801915008031,-0.0120563555369986,-0.0208389496497751,-0.0007189110543922997,-0.0090936464349838,-0.0127961026321127,-0.0042775444509531,-0.012194428131523199,-0.0038445201111427007,-0.0147992714691892,-0.012057573227690101,-0.0047013008116111,-0.0083741265352457,-0.0128364217238995,-0.0235626531288324,-0.0144872720542219,-0.0212634501547447,-0.013541396984822002,-0.0122346795738271,-0.028158556046141998,-0.0233013908260129,-0.0237497715984334,-0.0299320548888961,-0.0062829457209639,-0.0448275915722002,-0.060930468576172396,-0.0179969948746721,-0.0329901497617485,-0.0175685030502136,-0.0038368757195791,-0.011431612562752502,-0.0158482443504732,-0.0337520858872421,-0.039309355605527396,-0.0427247073973829,-0.0336516940546724,-0.0365579158384959,-0.0713951670803544,-0.0288771288531199,-0.0318999106959176,-0.0509855886983149,-0.0506200108929196,-0.0118573307584135,-0.036868426964840204,-0.0105429689558551,-0.0094801279305839,-0.0516290705793142,-0.0482342165807664,-0.012949666958213299,-0.0312652232476905,-0.0635914609846151,-0.0487359727951662,-0.0188096444349944
2024-12-11 00:00:00+00:00,0.0096704440195969,-0.0022623518950365008,-0.008605138669528401,-0.015871476178480802,-0.0099530677102059,-0.0169136893542624,-0.002273387093368301,-0.0095045073335705,-0.0189864674409198,-0.006712193444574601,-0.0243971205489153,-0.008791102196971698,-0.0117460830835995,-0.0032549066783250005,-0.00022090832216069972,-0.007524166062569101,-0.00010898961315359938,-0.0159981766037719,-0.026951428370187002,-0.0226568970193929,-0.007311636316919501,-0.0020590862665048996,-0.004177639990686799,-0.0150667241223577,-0.0239159995253502,-0.010726825845088401,-0.0225652095073274,-0.0013565119727133,-0.0174236245068049,-0.014407268844269999,-0.011274907362234698,-0.019906680368477498,-0.0023996106891019005,-0.0317387971279601,-0.0494238604693174,-0.0084187664310356,-0.022634554148696397,-0.0079073326713122,-0.0055336070153345004,-0.0196739194258863,-0.007285887520811798,-0.0186968956624722,-0.0241856806993972,-0.0276420138065316,-0.018587769812302098,-0.0215144133995099,-0.056172156723248996,-0.0138480840102836,-0.0168437997648276,-0.0358214799181869,-0.0354887210055272,-0.003096054317153601,-0.0217710839384867,-0.0043826767004322,-0.005403023835074801,-0.0365010301561998,-0.0331119981351877,-0.001972303287031401,-0.0162461279736964,-0.0483737455465822,-0.0336097400747586,-0.006524651838357199
2024-12-12 00:00:00+00:00,0.02301382724082,-0.0238265236556656,-0.0302641371293977,-0.0371628812685349,-0.0321305862674274,-0.0386555008503086,-0.0235787882052827,-0.030671902124527,-0.0401273408790545,-0.027907951707509,-0.0459659230172881,-0.0130839670028793,-0.0330187097611207,-0.0246312590729228,-0.0221705012250828,-0.0289060449136544,-0.0211071008522787,-0.0375175504577133,-0.048781957249038,-0.043441612120902,-0.0285658134658653,-0.0167510858497113,-0.015265955002957299,-0.0064123136932599,-0.042752041304354005,-0.0108594079055269,-0.0419512189198099,-0.020763563566508,-0.0052214698929576,-0.006462103661228999,-0.0105221449653133,-0.0016656026141217,-0.0226482285464776,-0.006902657171850301,-0.025613632682135002,-0.0126072516727034,-0.0010819535451504006,-0.0140853660470064,-0.0258007835915472,-0.039721667332444296,-0.0135713419738942,-0.0106877741948041,-0.005433650718517102,-0.0019687277172182986,-0.0108600825663395,-0.0079391385782319,-0.026067679409008,-0.0154017642245316,-0.0125344557710249,-0.006098259084999402,-0.005735898762557399,-0.032078907249183,-0.0077532020582821,-0.0332496461572702,-0.0342607603170985,-0.006770086322176402,-0.0033580567285846005,-0.0308261970523663,-0.0130699340579775,-0.0183150170793759,-0.0038996069628505006,-0.0175133165113406
