Date,target,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19,model_20,model_21,model_22,model_23,model_24,model_25,model_26,model_27,model_28,model_29,model_30,model_31,model_32,model_33,model_34,model_35,model_36,model_37,model_38,model_39,model_40,model_41,model_42,model_43,model_44,model_45,model_46,model_47,model_48,model_49,mean
2020-03-29 00:00:00+00:00,0.0185324450724053,-0.0589036257150018,-0.0589130155884558,-0.048747580788782996,-0.061061608542294796,-0.0358866192826219,-0.0431767482256303,-0.034575096620742596,-0.0303156812152731,-0.0474735121165237,-0.0406646933161824,-0.0718297888143606,-0.06574304073221579,-0.039467115186105,-0.0436326318570341,-0.0363022003111106,-0.0466891939226205,-0.0583667148609833,-0.0491110427443919,-0.0646923244431276,-0.0283582618647907,-0.033155537662043696,-0.038791993835178604,-0.0722603514386973,-0.0537470026257883,-0.0465063551507569,-0.043315802756107,-0.048788727425267,-0.053299875842661895,-0.030958834794777297,-0.0566039507523292,-0.013660683312696598,-0.0531381379100208,-0.07105042931767469,-0.0566576523881506,-0.056544973906702,-0.06356248000695469,-0.0572560721885029,-0.025682569947171798,-0.0833943147586864,-0.073286274241699,-0.0596856228165905,-0.025068746534187,-0.017373692486497498,-0.014721528004611698,-0.034267129872289095,-0.06954498994333991,-0.051988036668194196,-0.0786009426166896,-0.0523431637923102,-0.0539480936235794,-0.0490622892553681
2020-03-30 00:00:00+00:00,-0.0235435187579138,-0.0099684564414656,-0.012335569930324898,-0.0012741932008776997,-0.013538600564825698,-0.0127100279761076,-0.0033353180127682,-0.0128026325384671,-0.016935447783457,-0.0007530594724316012,-0.006053893783602802,-0.0247960627937657,-0.018554991779532397,-0.0097124990884562,-0.005062900664929801,-0.0120238841046651,-0.0006642875373733016,-0.009695821980469803,-0.002125968722446501,-0.016506815032848697,-0.0191738057118991,-0.015011054540151001,-0.0081081820170641,-0.026736200884363202,-0.008004597495409098,-0.0010845299417275023,-0.0048081863261802,-0.0013754988630562993,-0.006671153948144798,-0.0171185852177429,-0.0090867449931386,-0.0341522311277287,-0.004726768892159401,-0.025328590819593898,-0.008331924583838801,-0.010290604303812602,-0.0156377408961636,-0.010056606869393997,-0.0226277280019623,-0.0367307606252859,-0.025059167478769302,-0.0130291718873266,-0.0231684392050012,-0.0314274402855948,-0.0339632929602301,-0.0144416504246137,-0.0213521882023031,-0.0046808809490663,-0.029653451767732,-0.005040940746338901,-0.006129199730846,-0.0014617143321201988
2020-03-31 00:00:00+00:00,-0.0006671501180056,-0.0018514503115842997,-0.0048503903395729995,-0.0092363533907646,-0.0053012391234057,-0.0224160954500976,-0.009995582742739,-0.0215436765328645,-0.023023415282437,-0.008605271175465501,-0.0135859302930494,-0.0166093752784655,-0.0125569342452431,-0.0179745453959109,-0.0148117085747406,-0.0210600483903954,-0.0072821095564665,-9.70650911076e-05,-0.0059260624967644,-0.0057651360014529,-0.0272553471726582,-0.0225556994499856,-0.0148564752069235,-0.019209764981546,-0.000542185443334,-0.0075511336778312,-0.0129841267281828,-0.0054798813238701,-0.0019252834300658998,-0.0273246187622683,-0.0010458630964252,-0.044200153946295194,-0.0044682827350162,-0.0183723531463517,-0.0007676098352502,-0.003516408349762,-0.007358912972818399,-0.0036246120578818,-0.033122534122357494,-0.030915390640846103,-0.018152020693641,-0.0042442374099682,-0.0322659214330752,-0.03930807335447609,-0.043047466208618296,-0.0216660952379335,-0.0145277268819596,-0.0049711117315732,-0.0204027639046009,-0.0014198023818393002,-0.0017300924271829998,-0.0066683335695426
2020-04-01 00:00:00+00:00,0.0066872072502421,-0.0058248211987315,-0.0081934105595583,-0.0088956119050463,-0.0082390563008372,-0.0197529291562173,-0.007134853973435299,-0.02072252962329,-0.0197503814869366,-0.005467085970569099,-0.0102447089420538,-0.0207493863036237,-0.0169346761673499,-0.0142634449265555,-0.0119595026737258,-0.018961347080132203,-0.0024557408808036,-0.0026402345978796,-0.0021512944017621997,-0.0082165518888578,-0.023826652336027,-0.017845998699627198,-0.010224433740695099,-0.021637036742167798,-0.004251847723684,-0.002971537757254899,-0.0079069039183684,-0.0017215875164205002,-0.0040173559969746,-0.024782240622055904,-0.0046078845056593005,-0.0412630070458979,-0.0024565901038971997,-0.0225711821450843,-0.0007947666626858998,-0.0064187465997903,-0.011179491262290401,-0.0073631888327162,-0.0314361158658758,-0.0353082547138515,-0.022815227631596303,-0.0060290593527328,-0.027274710401656,-0.0334867773310511,-0.0392981171131723,-0.017082440985629603,-0.0195124928678528,-0.0021754972599285997,-0.023964438782957002,-0.0031402146942133002,-0.0032796995873306,-0.0031564603319932
2020-04-02 00:00:00+00:00,0.0068688655120632,-0.0089455532215285,-0.0116671592833392,-0.007053504497503999,-0.010373210116951,-0.0161021856046757,-0.003267087199266899,-0.0186905057283954,-0.017978522616061202,-0.0026756308489880995,-0.0077356459005979,-0.0233544590842222,-0.0205178095426194,-0.0107378483874562,-0.0081535352776981,-0.0166186686147784,-0.0008172199526940999,-0.0041427251976118,-0.0008631951655166002,-0.0107660029329233,-0.019764280022367502,-0.013921526427680502,-0.0078718843752922,-0.0238861265682846,-0.0065146665674053,-0.0006061135855595003,-0.0040328486568751995,-0.0008432655434444996,-0.0084774707221725,-0.0226705250696192,-0.006834067759238809,-0.0383335208545568,-0.00010840027243469962,-0.0245288305181775,-0.0028083895484001,-0.0087357122272238,-0.014399204670997201,-0.011208250737000599,-0.0303170676334395,-0.038551481324520596,-0.0268711410742024,-0.0074120267993311,-0.0247466855404053,-0.029912675566525798,-0.0366502586474788,-0.0139048656854192,-0.0211964711704308,-0.0005824932927330998,-0.0283962316775332,-0.0049111228486157996,-0.0052716486574237,-0.0003786122044575997
2020-04-03 00:00:00+00:00,-0.0095834837494558,-0.0076345934983999995,-0.0040863962978102,-0.0246949498199247,-0.0068102764923243,-0.0320974652487701,-0.0179392368087547,-0.0335682704874089,-0.034547271297064,-0.018492097877878498,-0.0240213369393405,-0.0082626495377132,-0.005325332923635901,-0.0270692467129168,-0.023404905749179097,-0.032784378632438,-0.0149095497716869,-0.011066856392583,-0.014470214256442699,-0.0028293416638469,-0.0352736672764999,-0.0298548119177953,-0.0249833717529361,-0.0082322783101993,-0.009597098437651688,-0.015537710539370999,-0.0191103094503425,-0.0157355424316943,-0.0067945672367137,-0.038211926445913896,-0.00948985658601639,-0.0548152481575399,-0.0151753503766189,-0.008129225593393501,-0.013017003384087799,-0.0057332499276589,-0.0019000868302922,-0.0047266008281292,-0.0461301243722712,-0.023388568123344,-0.0114482771188094,-0.0088443109087899,-0.0400048761529415,-0.0458138446926437,-0.0539629686764774,-0.0291454866627896,-0.004712671954821,-0.0162688192954901,-0.015024960436239701,-0.0112249962323968,-0.0121522612269075,-0.0161881302749716
2020-04-04 00:00:00+00:00,0.0191933956243854,-0.0090057071992047,-0.0137808986631388,-0.007652953055000602,-0.009802365506281399,-0.0160579414006742,-5.477422392699896e-05,-0.0159553719079924,-0.0181555403968889,-0.0003143702079824,-0.007162945808518801,-0.0249516680918891,-0.0221077438592331,-0.0113124633670942,-0.007782380950920702,-0.0153935660166334,-0.0012174047105621005,-0.005656443167037199,-0.0018792422927220997,-0.0148686639942908,-0.0186243992943642,-0.014436285998851897,-0.009990691554184802,-0.025621436304926498,-0.008124455496101699,-0.0012092625961945998,-0.002659722112808901,-0.00022597010913500207,-0.0092418285158628,-0.023800880680697703,-0.0080288649585921,-0.0391289925571558,-0.002534206661454999,-0.024757737731499,-0.0033080247516046983,-0.012304849644226599,-0.014284863819965,-0.012333399915385498,-0.0297513916406709,-0.041521505280266796,-0.0300679824252989,-0.007065980628323799,-0.0253047397785535,-0.030397050735840897,-0.0381726642150795,-0.0122231112753163,-0.0223681857772488,-0.0011218141730524982,-0.0326916466030516,-0.006275243858968899,-0.002927565952976899,-0.0004900157058214012
2020-04-05 00:00:00+00:00,-0.0074458565453288,-0.0064820151236991,-0.0021504349995824,-0.021212085056671,-0.0043735990450811,-0.031728954097181905,-0.0162114184602088,-0.0305507643034222,-0.0327996584536103,-0.0151970505829995,-0.0210921495686835,-0.0105527666865694,-0.0070116610286958,-0.0250524069319806,-0.0248973000508895,-0.0295261251344216,-0.0129540702068731,-0.0092239312798703,-0.0122399560513211,-0.0008676647803110005,-0.033209368870619496,-0.0298621727517153,-0.0253549431629249,-0.010306151933155601,-0.0057280608060474,-0.013989084418087199,-0.0175288413204731,-0.0146798547286589,-0.0046236375624253995,-0.039455455534384606,-0.0062769005391391,-0.053338092019361794,-0.0125077358908503,-0.010320365740988099,-0.0107823663707531,-0.0028829129798522,-8.445284361750013e-05,-0.0020909860076993,-0.0441450783652875,-0.0255291401216888,-0.0155693070976182,-0.0084552444022756,-0.039763179286435704,-0.0477237416759739,-0.053073735943763106,-0.0275381632959018,-0.008294638748811398,-0.013797249887560401,-0.0163683928488984,-0.006707153539731,-0.0110696512896436,-0.014307419763314101
2020-04-06 00:00:00+00:00,0.0019644083862144,-0.0041851212136036,-0.0005980088531651999,-0.018114828570795403,-0.0025132887371968,-0.0302351436454686,-0.0146247188699859,-0.030183715511268798,-0.030432284826568,-0.0136898139263206,-0.0191836348150907,-0.0138169208596275,-0.009936396359557,-0.0230480618910417,-0.0239544304919498,-0.028278574913857803,-0.011002275799467,-0.0082087455423724,-0.0087940018907156,-0.0017229470244225,-0.030580820149124797,-0.0278972541139371,-0.0232824152993263,-0.0121043221792818,-0.0040214292254797,-0.0118136277865791,-0.015972721346898602,-0.0129780778170387,-0.0026512666582207004,-0.0378148353024455,-0.0053097457986768,-0.0500904800669987,-0.0109690356639476,-0.014716704150668499,-0.009122849269156,-0.0012590485293435,-0.004336478811817699,-0.0003362689181318,-0.0423694655697004,-0.027088828931210403,-0.0175280042915314,-0.007550110026939101,-0.0384750387487995,-0.0471926301393117,-0.0526325142044088,-0.026968829951410797,-0.0096761198267164,-0.0111888595790335,-0.017785040433802503,-0.0054438561567630005,-0.0090746615255257,-0.012442694215422
2020-04-07 00:00:00+00:00,-0.009968973060571,-0.0109340724743651,-0.005507879002343101,-0.024165250558105998,-0.0087867758324751,-0.0357713769102858,-0.0215245023728967,-0.0369183126961742,-0.0360185199771195,-0.0203082955881153,-0.0245608463831096,-0.008035957490557999,-0.005417951892334599,-0.029066382377374203,-0.028734424066414,-0.0352874188321763,-0.0167178879105518,-0.0144721096075848,-0.0128672966919654,-0.0059776490445348,-0.0374911546463573,-0.033442139572508,-0.0289589288700553,-0.006482993500314801,-0.010041373773269429,-0.0175790808260064,-0.022233904168789002,-0.018586118404793,-0.0073528452906309,-0.0440169209020126,-0.0128200380135037,-0.056626642147793,-0.0177788608905849,-0.0095698302265882,-0.0161809333453374,-0.007119472964541001,-0.0009037570232081002,-0.006416539243846501,-0.0492523061556983,-0.0220003231951124,-0.011103077019857398,-0.013382864879509501,-0.0429984077059394,-0.0519546053790807,-0.0591161208324077,-0.0332398557368852,-0.0027061592037425,-0.0161343006096368,-0.0115325780777528,-0.0117035647753213,-0.0148516395683873,-0.0184190501089086
2020-04-08 00:00:00+00:00,-0.0499247469674076,-0.04993865637061728,-0.043315567583208495,-0.06330991320005519,-0.0481296963334919,-0.0749242648801372,-0.0609852515015042,-0.075866205450526,-0.0747177313173268,-0.059083351361114096,-0.0635246659556713,-0.0317257681072769,-0.0325698159838643,-0.0685943273027991,-0.0674964328176351,-0.0749122522137289,-0.056279552871696295,-0.053040242537842196,-0.051811683961920596,-0.044731797728193995,-0.07849181605488639,-0.072746811032222,-0.0684057073653345,-0.0317614899837018,-0.0491317002359225,-0.0566662764306321,-0.0621385728509734,-0.0564948324986461,-0.0472725820478288,-0.0839629533582936,-0.0526327602483586,-0.0969275708923819,-0.0563239154379939,-0.0285718109294822,-0.055364061242259295,-0.0456688910823128,-0.040374677172762094,-0.044814621901851696,-0.0898350397466465,-0.016389913448738497,-0.027402999562802198,-0.0515536223826744,-0.0827687467933293,-0.08918087629872459,-0.09763326235673969,-0.0716507079095926,-0.03532724979591639,-0.056148256535338295,-0.026884031299107696,-0.0501155797644737,-0.0541258082337976,-0.0574344864474467
2020-04-09 00:00:00+00:00,0.0009882214210468,-0.024137779582924002,-0.017412661079537102,-0.0387762114363505,-0.022256942449578,-0.049620915601010604,-0.034762768075856404,-0.0500275171419261,-0.0497347107949493,-0.032690941348005,-0.0391723872967298,-0.0053057841010147,-0.0062289004744572,-0.0429497000842262,-0.0419313107365211,-0.0498546061211167,-0.0299376743944621,-0.027803848140868302,-0.028508690692019,-0.0186746120704093,-0.053242508649433,-0.0461816610504783,-0.0435589369266292,-0.0044630785614957,-0.0215239283786803,-0.0302793927107635,-0.03637475574516,-0.029866025568648803,-0.020531714143811,-0.0601626095611476,-0.0276005473704105,-0.07298475477135709,-0.0317607266388782,-0.0030110252680787004,-0.030146742562663403,-0.0185862156088409,-0.0144380147818404,-0.0191243581829059,-0.06594242939207859,-0.011462259369193002,-0.0004007232316769999,-0.0263303889289033,-0.0573544414175465,-0.06308457289868749,-0.0719237754095463,-0.045940206725717504,-0.008872586870874,-0.0321523551279597,-0.0004759212253325001,-0.0236566455173234,-0.027299866307283902,-0.031695903306471304
2020-04-10 00:00:00+00:00,0.0274513058458691,-0.020429340014546098,-0.026474364628101998,-0.004881714434885498,-0.021199635505746897,-0.005310518167760403,-0.0100457523610798,-0.005342539945228299,-0.004566371948125099,-0.012281958287922999,-0.004862102481211401,-0.0387533312620746,-0.0382260245528363,-0.001298488616424398,-0.002098700647127999,-0.005807354327505003,-0.0143873070549406,-0.0160834640427572,-0.0151396526224396,-0.0259020723076112,-0.008268045102618103,-0.0016294541849249007,-0.0008692416755567006,-0.0392190320603365,-0.0232104701683349,-0.014193846766155099,-0.008197796635785501,-0.0148728414108729,-0.0224119201676036,-0.015832386714929002,-0.0164872265240483,-0.027276238688778,-0.012500792234286899,-0.0403748077031321,-0.013481943927984099,-0.0257386393603268,-0.029227240272360098,-0.024709621203425,-0.021311656325885497,-0.0546920878952362,-0.0443911585323965,-0.017463835335821,-0.013080619090652404,-0.0171999049762063,-0.026367551501876703,-0.0012072985719395017,-0.0353137048332274,-0.0115095575587572,-0.0427506241476556,-0.0211880012959402,-0.0166845648827693,-0.0125670584773058
2020-04-11 00:00:00+00:00,-0.0328791799810608,-0.011487395634938495,-0.006667954295433598,-0.027621254674529198,-0.011481464346648595,-0.037020621148234796,-0.022424799083001296,-0.036667439890976296,-0.0370613852750267,-0.020056705272882898,-0.028185481953300496,-0.006143628410612105,-0.004940331779012305,-0.030730543837666498,-0.029771292758792096,-0.0372896859533828,-0.018306004652933895,-0.016342532545787696,-0.016865672172951197,-0.006136510864664296,-0.039614211754972095,-0.0337462264874295,-0.031150371206981598,-0.006914588046685502,-0.009854026681522896,-0.018630715726401098,-0.023547969401885596,-0.018035645748522594,-0.010687318765442197,-0.0468021782710164,-0.014781848834323895,-0.0587519987093516,-0.019144904500327197,-0.006315096562991,-0.018365533219042794,-0.007052517459825495,-0.003431843404499098,-0.008513016319993596,-0.052054064447652995,-0.021375931630147706,-0.011360466065536007,-0.015062560532840996,-0.043995061285844995,-0.04896817691285919,-0.057419292151428096,-0.033045471736386695,-0.0023766132969346015,-0.020410102213351898,-0.009535570421161405,-0.011585423654128697,-0.014852700768986097,-0.019693153966861797
2020-04-12 00:00:00+00:00,0.0066082922844901,-0.0051503265787427996,-0.0100943635547601,-0.011516646734630698,-0.004743991815320699,-0.0206653118457622,-0.005618659730875599,-0.0207925423520917,-0.0206417836802622,-0.0038669822340047996,-0.0117000772192161,-0.0225237023965834,-0.021698432477789,-0.0143131531923315,-0.0139544322993763,-0.0204359401091104,-0.0017927124016291,-0.0002410800654551997,-0.0009644317697138005,-0.0102602873000872,-0.0238725018747264,-0.0174240004014284,-0.0150163219678912,-0.0226035420482327,-0.0063832693556796,-0.0017737560597569993,-0.0071289226386112,-0.0008512512579484004,-0.0057162291375701,-0.030785991263356502,-0.0010652349053158995,-0.0434672264362913,-0.0030808515857815993,-0.0238504233118402,-0.0020334579434041003,-0.009783033516485,-0.0131862544219849,-0.0083778110442993,-0.0364995442114858,-0.0383919446697833,-0.0287757269617723,-0.0004931994123535,-0.028187188300591803,-0.03320448596255,-0.0418671996743969,-0.0163935559588424,-0.0193411556120529,-0.0046498791533204995,-0.0269563641736289,-0.0048479171719369,-0.0011744011329203,-0.0033368023438958994
